,Predicted probability,Observed probability,Observed probability histogram,Observed probability bin edges,Delta,Predicted probability interp,Observed probability interp
0,0.010966426783686423,0.005280615943750511,901.0,0.005280615943750511,0.008324583596921453,0.0009664267836864224,0.00018070336832476386
1,0.013406680647726765,0.006984483352175497,277.0,0.0961518284723273,0.008373666625609899,0.01105767499799262,0.005341861062253761
2,0.014041362237826593,0.007449048963682037,123.0,0.18702304100090408,0.007972629081643756,0.021148923212298817,0.013177981408640349
3,0.01501796841096703,0.008180130905255045,74.0,0.2778942535294809,0.0004196488954477662,0.03124017142660502,0.02269644167812379
4,0.015097844837364427,0.008240776548487982,48.0,0.36876546605805766,0.07252509710209665,0.041331419640911214,0.033525461114349175
5,0.015124510754981002,0.008261050688136873,31.0,0.45963667858663443,0.02327649591568548,0.05142266785521741,0.04544485311369084
6,0.0157577010277129,0.008746576369229597,7.0,0.5505078911152113,0.00945106599424339,0.06151391606952361,0.05825082435326667
7,0.015832502257131398,0.008804449438724604,6.0,0.641379103643788,0.0200022487638295,0.07160516428382982,0.07173783390428645
8,0.016260837872251188,0.009137918857925142,5.0,0.7322503161723648,0.008184332657712567,0.08169641249813601,0.08573489203488949
9,0.016368624528508957,0.009222384111786663,2.0,0.8231215287009416,0.005533065677318594,0.09178766071244221,0.10009964776775504
10,0.01640029039559321,0.009247240346924701,,0.9139927412295183,0.073536400994209,0.1018789089267484,0.11471291153441687
11,0.0166435772146879,0.00943883937476786,,,0.008301487669871488,0.11197015714105461,0.12947455376513473
12,0.016947728433641673,0.009679929449676328,,,0.008543158941768825,0.12206140535536081,0.14430032377593238
13,0.016974650977996664,0.0097013528267611,,,0.008537640750830744,0.132152653569667,0.15911931849058025
14,0.017113416297774964,0.009811986536514494,,,0.007299539579535108,0.1422439017839732,0.1738719293425296
15,0.017267793556696054,0.009935483769554554,,,0.008384655415168307,0.15233514999827938,0.1885081525158785
16,0.017333861331634615,0.009988469533177224,,,0.0004703742564777791,0.1624263982125856,0.20298618234680577
17,0.01742145370905357,0.010058840768944033,,,0.07212503691540684,0.1725176464268918,0.2172712299080778
