,Training,Testing
C-index,0.7888411319596194,0.7922774338078354
Concordance,174722.0,134745.0
Discordant,46770.0,35328.0
Tied risk,0.0,0.0
Tied time,6347.0,120.0
15m AUC,0.8513263241517784,0.8836640556994556
30m AUC,0.876409390195239,0.7693997559316434
60m AUC,0.842691953653133,0.8170521041443287
84m AUC,0.5081800571396073,0.703008857642475
Mean AUC,0.7419286759014168,0.7865561744228607
IBS,0.07893582499877173,0.05121599901095067
