,FPR,TPR,Threshold,Cohort
0,0.0,0.0,2.6379251890620963,Training
1,0.0,0.0056179775280898875,1.6379251890620963,Training
2,0.0,0.011235955056179775,1.2880208230764258,Training
3,0.0007961783439490446,0.011235955056179775,1.274396113415063,Training
4,0.0007961783439490446,0.016853932584269662,1.020448255324726,Training
5,0.0023885350318471337,0.016853932584269662,0.9786127407713758,Training
6,0.0023885350318471337,0.033707865168539325,0.8664146025743514,Training
7,0.0031847133757961785,0.033707865168539325,0.8529852539527923,Training
8,0.0031847133757961785,0.056179775280898875,0.7767318230904268,Training
9,0.007961783439490446,0.056179775280898875,0.7377302903553629,Training
10,0.007961783439490446,0.06179775280898876,0.7371395789422198,Training
11,0.010350318471337579,0.06179775280898876,0.7171381797671964,Training
12,0.010350318471337579,0.06741573033707865,0.7143109932557424,Training
13,0.014331210191082803,0.06741573033707865,0.6705921267072927,Training
14,0.014331210191082803,0.07865168539325842,0.6668586613958913,Training
15,0.015127388535031847,0.07865168539325842,0.6591122654757606,Training
16,0.015127388535031847,0.09550561797752809,0.6530855378088458,Training
17,0.016719745222929936,0.09550561797752809,0.6487741239709492,Training
18,0.016719745222929936,0.10674157303370786,0.641227542557715,Training
19,0.01751592356687898,0.10674157303370786,0.6367404230882497,Training
20,0.01751592356687898,0.11235955056179775,0.6357857876779873,Training
21,0.02308917197452229,0.11235955056179775,0.5827026434303929,Training
22,0.02308917197452229,0.12359550561797752,0.566255534884813,Training
23,0.03105095541401274,0.12359550561797752,0.5323082369075527,Training
24,0.03105095541401274,0.12921348314606743,0.5258484816438475,Training
25,0.03184713375796178,0.12921348314606743,0.5245011736205545,Training
26,0.03184713375796178,0.1348314606741573,0.5244271989842021,Training
27,0.03423566878980892,0.1348314606741573,0.5185195777224643,Training
28,0.03423566878980892,0.14606741573033707,0.5136246864516298,Training
29,0.03503184713375796,0.14606741573033707,0.5114312056495117,Training
30,0.03503184713375796,0.15168539325842698,0.5074141905498148,Training
31,0.04060509554140127,0.15168539325842698,0.489071248598353,Training
32,0.04060509554140127,0.16853932584269662,0.4831454647422694,Training
33,0.04378980891719745,0.16853932584269662,0.47320469785488445,Training
34,0.04378980891719745,0.17415730337078653,0.4723368491193649,Training
35,0.044585987261146494,0.17415730337078653,0.4706138798585473,Training
36,0.044585987261146494,0.1797752808988764,0.4703880547120514,Training
37,0.04777070063694268,0.1797752808988764,0.4629461637087924,Training
38,0.04777070063694268,0.19101123595505617,0.4584761587601151,Training
39,0.04936305732484077,0.19101123595505617,0.4537417097513402,Training
40,0.04936305732484077,0.19662921348314608,0.4529750166476893,Training
41,0.05015923566878981,0.19662921348314608,0.4505498953963595,Training
42,0.05015923566878981,0.21910112359550563,0.4452424553221595,Training
43,0.054140127388535034,0.21910112359550563,0.4378979886753195,Training
44,0.054140127388535034,0.2303370786516854,0.43731611622372457,Training
45,0.05732484076433121,0.2303370786516854,0.43479940718813526,Training
46,0.05732484076433121,0.23595505617977527,0.4294135646106219,Training
47,0.0589171974522293,0.23595505617977527,0.42700269135009966,Training
48,0.0589171974522293,0.24157303370786518,0.4236052494182192,Training
49,0.059713375796178345,0.24157303370786518,0.42337595435951947,Training
50,0.059713375796178345,0.24719101123595505,0.421493941542201,Training
51,0.06210191082802548,0.24719101123595505,0.4183045436859395,Training
52,0.06210191082802548,0.25280898876404495,0.41434987887474767,Training
53,0.07006369426751592,0.25280898876404495,0.4079030258554149,Training
54,0.07006369426751592,0.2696629213483146,0.40150056607485923,Training
55,0.07085987261146497,0.2696629213483146,0.4006451442676277,Training
56,0.07085987261146497,0.2752808988764045,0.3949520688023999,Training
57,0.0732484076433121,0.2752808988764045,0.3909408446336768,Training
58,0.0732484076433121,0.2808988764044944,0.3905577759030113,Training
59,0.07643312101910828,0.2808988764044944,0.3814545785850957,Training
60,0.07643312101910828,0.28651685393258425,0.38025432265755316,Training
61,0.0804140127388535,0.28651685393258425,0.36993875811865484,Training
62,0.0804140127388535,0.29213483146067415,0.36893323800945815,Training
63,0.08121019108280254,0.29213483146067415,0.3681909551299754,Training
64,0.08121019108280254,0.3146067415730337,0.36155756539410927,Training
65,0.0875796178343949,0.3146067415730337,0.3460560905140828,Training
66,0.0875796178343949,0.3258426966292135,0.34489736320115505,Training
67,0.08837579617834394,0.3258426966292135,0.33841105072939787,Training
68,0.08837579617834394,0.33146067415730335,0.3365008557170371,Training
69,0.09713375796178345,0.33146067415730335,0.32471441113070704,Training
70,0.09713375796178345,0.34269662921348315,0.3234229032790457,Training
71,0.09872611464968153,0.34269662921348315,0.3219607869830391,Training
72,0.09872611464968153,0.34831460674157305,0.32043586146166053,Training
73,0.10111464968152867,0.34831460674157305,0.3115322904272959,Training
74,0.10111464968152867,0.3539325842696629,0.3114412091800312,Training
75,0.10270700636942676,0.3539325842696629,0.3051748718820675,Training
76,0.10270700636942676,0.3707865168539326,0.30227477994101015,Training
77,0.10509554140127389,0.3707865168539326,0.29752077168144575,Training
78,0.10509554140127389,0.37640449438202245,0.2965588779100446,Training
79,0.1106687898089172,0.37640449438202245,0.2865727480589628,Training
80,0.1106687898089172,0.38764044943820225,0.28493281093037687,Training
81,0.11385350318471338,0.38764044943820225,0.27948442755326336,Training
82,0.11385350318471338,0.39325842696629215,0.2760786159138205,Training
83,0.12022292993630573,0.39325842696629215,0.2705408609325551,Training
84,0.12022292993630573,0.4044943820224719,0.2654212758347967,Training
85,0.12818471337579618,0.4044943820224719,0.24972759244093348,Training
86,0.12818471337579618,0.42134831460674155,0.24374376554737825,Training
87,0.12977707006369427,0.42134831460674155,0.24009685382657875,Training
88,0.12977707006369427,0.42696629213483145,0.2392642448212844,Training
89,0.13694267515923567,0.42696629213483145,0.2324079059842048,Training
90,0.13694267515923567,0.43258426966292135,0.23224605745846458,Training
