,Training,Testing
C-index,0.8476694417857078,0.8698970442104272
Concordance,187752.0,147946.0
Discordant,33740.0,22127.0
Tied risk,0.0,0.0
Tied time,6347.0,120.0
15m AUC,0.9476840764308673,0.9327121496886362
30m AUC,0.9188701542702584,0.8756770575290961
60m AUC,0.8923938308714093,0.8963488207848544
84m AUC,0.609066530818001,0.7651346993164053
Mean AUC,0.8124777356539056,0.8648079177270086
IBS,0.07085067141619641,0.05452630021937508
