,Predicted probability,Observed probability,Observed probability histogram,Observed probability bin edges,Delta,Predicted probability interp,Observed probability interp
0,0.0044296372978563925,0.004358979589260348,1145.0,0.004358979589260348,2.58228177155706e-05,0.0,0.0
1,0.004790240378242716,0.004725221934133383,160.0,0.10389960920559395,0.00018916243093225482,0.010101010101010102,0.010195573471047048
2,0.004979272695174952,0.004917554239908251,71.0,0.20344023882192755,3.950531251672995e-05,0.020202020202020204,0.020828863358425376
3,0.00507202704540155,0.005012010635115471,36.0,0.30298086843826116,0.0008419682084653823,0.030303030303030304,0.03162956020327823
4,0.005289942144533266,0.0052341321585701595,27.0,0.40252149805459475,0.04393617201094513,0.04040404040404041,0.042536934204478904
5,0.005325706438758404,0.005270614043178856,15.0,0.5020621276709283,0.006306245635135266,0.05050505050505051,0.053521315431138694
6,0.005515461602754956,0.0054643015288120544,9.0,0.601602757287262,0.00030663994112190007,0.06060606060606061,0.064564782466068
7,0.005554587527448418,0.005504264009564053,4.0,0.7011433869035956,0.000417550151875945,0.07070707070707072,0.07565520151520122
8,0.005635986414589733,0.005587430986362607,3.0,0.8006840165199292,2.8028951334135854e-05,0.08080808080808081,0.08678373619716861
9,0.005646416146867006,0.005598089948682383,4.0,0.9002246461362627,0.00016474052701942465,0.09090909090909091,0.09794361409702079
10,0.00565504655311222,0.005606910496542716,,0.9997652757525963,0.029082693640711144,0.10101010101010102,0.1091294432962211
11,0.005670289093809622,0.005622489866066838,,,0.016142486050311988,0.11111111111111112,0.12033680197536956
12,0.005678215147404964,0.005630591578605015,,,0.00017126684143375925,0.12121212121212122,0.13156197656625346
13,0.00573704179529122,0.005690732798541043,,,1.5963566473486956e-05,0.13131313131313133,0.14280178653185893
14,0.00580435699010351,0.005759575523505478,,,0.00011634863099108106,0.14141414141414144,0.15405346251481655
15,0.005817911843987833,0.0057734409471098536,,,6.383265960863138e-05,0.15151515151515152,0.16531455886121138
16,0.005824134988623664,0.005779807009841154,,,0.0013110794899793277,0.16161616161616163,0.17658288911798659
17,0.005841963299444974,0.005798045915719641,,,0.03489422300541667,0.17171717171717174,0.18785647736848998
18,0.0060014255866346344,0.005961256254362279,,,0.0001248892038503424,0.18181818181818182,0.1991335207805608
19,0.00602909444458144,0.00598958913206471,,,2.9685715792315825e-05,0.19191919191919193,0.2104123602765342
20,0.006094861081937797,0.006056950106888892,,,5.5092395579547926e-05,0.20202020202020204,0.22169145720514638
21,0.006110874244797393,0.0060733548595571785,,,0.010350268898788761,0.21212121212121213,0.23296937452722488
22,0.006188620835067216,0.006153021411849813,,,0.0005993432605407856,0.22222222222222224,0.2442447614491009
23,0.006188659603267754,0.006153061145145133,,,0.0009621061620110893,0.23232323232323235,0.2555163407259128
24,0.006220205067014595,0.006185394433405822,,,0.020992585442576206,0.24242424242424243,0.2667828980580267
25,0.006254003228166161,0.006220042272626181,,,0.0047088664912035005,0.25252525252525254,0.2780432731463687
26,0.006282940486286082,0.006249711582600792,,,0.0006089816034637874,0.26262626262626265,0.2892963520754377
27,0.006361924802724572,0.006330715364416317,,,6.501844410933266e-05,0.27272727272727276,0.30054106076811005
