,30m_FPR,30m_TPR,30m_Threshold,60m_FPR,60m_TPR,60m_Threshold,84m_FPR,84m_TPR,84m_Threshold
0,0.0,0.0,4.300385380842624,0.0,0.0,4.300385380842624,0.0,0.0,4.300385380842624
1,0.0,0.017857142857142856,3.300385380842624,0.0,0.009174311926605505,3.300385380842624,0.0,0.0056179775280898875,3.300385380842624
2,0.0007479431563201197,0.03571428571428571,2.887837208237296,0.0009285051067780873,0.01834862385321101,2.887837208237296,0.0010427528675703858,0.011235955056179775,2.887837208237296
3,0.0014958863126402393,0.03571428571428571,2.83626868666163,0.0018570102135561746,0.01834862385321101,2.83626868666163,0.0020855057351407717,0.011235955056179775,2.83626868666163
4,0.0029917726252804786,0.03571428571428571,2.681563121934632,0.003714020427112349,0.01834862385321101,2.681563121934632,0.004171011470281543,0.011235955056179775,2.681563121934632
5,0.008227374719521317,0.07142857142857142,2.475289035631968,0.008356545961002786,0.03669724770642202,2.475289035631968,0.0072992700729927005,0.033707865168539325,2.475289035631968
6,0.02019446522064323,0.10714285714285714,2.269014949329304,0.017641597028783658,0.07339449541284404,2.269014949329304,0.01564129301355579,0.056179775280898875,2.269014949329304
7,0.03889304412864622,0.21428571428571427,2.06274086302664,0.03064066852367688,0.13761467889908258,2.06274086302664,0.028154327424400417,0.11235955056179775,2.06274086302664
8,0.05833956619296934,0.26785714285714285,1.856466776723976,0.04735376044568245,0.1926605504587156,1.856466776723976,0.043795620437956206,0.17415730337078653,1.856466776723976
9,0.08900523560209424,0.39285714285714285,1.650192690421312,0.06870937790157845,0.3486238532110092,1.650192690421312,0.06569343065693431,0.2752808988764045,1.650192690421312
10,0.1219147344801795,0.48214285714285715,1.443918604118648,0.09563602599814298,0.43119266055045874,1.443918604118648,0.09176225234619395,0.3539325842696629,1.443918604118648
11,0.16080777860882572,0.5892857142857143,1.237644517815984,0.1327762302692665,0.5137614678899083,1.237644517815984,0.132429614181439,0.4044943820224719,1.237644517815984
12,0.22662677636499626,0.7678571428571429,1.03137043151332,0.1903435468895079,0.6697247706422018,1.03137043151332,0.18873826903023982,0.550561797752809,1.03137043151332
13,0.2879581151832461,0.8035714285714286,0.825096345210656,0.24512534818941503,0.7339449541284404,0.825096345210656,0.2429614181438999,0.6292134831460674,0.825096345210656
14,0.36275243081525804,0.875,0.618822258907992,0.31754874651810583,0.8165137614678899,0.618822258907992,0.31386861313868614,0.7247191011235955,0.618822258907992
15,0.3642483171278983,0.875,0.51568521575666,0.31940575673166205,0.8165137614678899,0.51568521575666,0.3159541188738269,0.7247191011235955,0.51568521575666
16,0.44801795063575167,0.9285714285714286,0.412548172605328,0.403899721448468,0.8899082568807339,0.412548172605328,0.39520333680917624,0.8258426966292135,0.412548172605328
17,0.4487658937920718,0.9285714285714286,0.25784260787833,0.5357474466109564,0.9357798165137615,0.206274086302664,0.5255474452554745,0.8876404494382022,0.206274086302664
18,0.5766641735228123,0.9642857142857143,0.206274086302664,1.0,1.0,0.0,1.0,1.0,0.0
19,1.0,1.0,0.0,,,,,,
