,Training,Testing
C-index,0.745968251675004,0.7425634874436271
Concordance,155387.0,121021.0
Discordant,46427.0,38514.0
Tied risk,19678.0,10538.0
Tied time,6347.0,120.0
15m AUC,0.9006457293225405,0.807032166285854
30m AUC,0.8185455279309659,0.7692389806797963
60m AUC,0.7875193139384946,0.7678335252277068
84m AUC,0.6639032322796355,0.698179897099523
Mean AUC,0.7678992968130445,0.7556821290646589
IBS,0.0789050082974497,0.05621872996879052
