,Training,Testing
C-index,0.6689358678106013,0.6312213092760328
Concordance,86997.0,47926.0
Discordant,15205.0,11737.0
Tied risk,110281.0,78230.0
Tied time,6064.0,66.0
15m AUC,0.7465262778977682,0.7013783829214995
30m AUC,0.7493117717695752,0.6127638676665006
60m AUC,0.7198162655462678,0.6707592693690801
84m AUC,0.4341064522393606,0.6062659522841717
Mean AUC,0.6364686873120143,0.6448709329188489
IBS,0.08744443269149982,0.044214917334295126
