,C-index,Concordance,Discordant,Tied risk,Tied time
0,0.624958986576128,68967.0,16410.0,124920.0,4899.0
1,0.6628421747648479,73830.0,13652.0,97292.0,7393.0
2,0.6572167378217129,87117.0,17076.0,118560.0,6020.0
3,0.6794413552556458,88723.0,13920.0,105790.0,9605.0
4,0.6809914791528789,104993.0,17480.0,119287.0,5931.0
5,0.6383967587384537,81076.0,19317.0,122730.0,7140.0
6,0.666254669178179,88993.0,16088.0,114176.0,3658.0
7,0.6627468130942546,98049.0,17669.0,131230.0,2430.0
8,0.6588129488861962,93884.0,18128.0,126495.0,5982.0
9,0.6595310223620008,84895.0,15909.0,115411.0,9599.0
10,0.6684606310822766,84903.0,14068.0,111271.0,6121.0
11,0.6826184894037604,93471.0,14021.0,110038.0,1267.0
12,0.6539297031058893,82327.0,17135.0,112297.0,6065.0
13,0.6513237354461568,78725.0,16080.0,112185.0,9583.0
14,0.696590793336235,99668.0,14751.0,101555.0,3685.0
15,0.6639083605718111,81959.0,15365.0,105820.0,4878.0
16,0.6693163926301802,92555.0,15343.0,120113.0,14222.0
17,0.6614594897240108,81794.0,14891.0,110497.0,6130.0
18,0.6336534509756998,66962.0,15580.0,109679.0,12196.0
19,0.6796862294925144,90192.0,15058.0,103820.0,5981.0
20,0.6600364358364081,94089.0,17839.0,126299.0,9523.0
21,0.6832042815343614,99073.0,14795.0,116143.0,1253.0
22,0.6428314972367656,80787.0,17932.0,121313.0,6081.0
23,0.6237160448755267,66914.0,16761.0,119019.0,2487.0
24,0.6768925282003518,98435.0,16388.0,117089.0,9513.0
25,0.6370859921637432,83695.0,18688.0,134720.0,3624.0
26,0.6425408432864621,74111.0,16492.0,111511.0,10942.0
27,0.6440423093798856,86314.0,18687.0,129746.0,8368.0
28,0.6416215683835117,70028.0,15387.0,107497.0,4934.0
29,0.6542166146308455,88330.0,16313.0,128850.0,7111.0
30,0.6668177676743074,89401.0,15432.0,116873.0,5999.0
31,0.6530364808373788,82609.0,17226.0,113784.0,10848.0
32,0.6808913016033329,83664.0,12022.0,102339.0,9830.0
33,0.6432064260261378,80456.0,17843.0,120312.0,2472.0
34,0.6749531027237938,84309.0,14361.0,101235.0,7363.0
35,0.6403809356236391,82704.0,18877.0,125754.0,8430.0
36,0.6805044480164371,98183.0,16656.0,110992.0,3663.0
37,0.651233191853622,85799.0,17957.0,120540.0,6034.0
38,0.6571312019901651,88061.0,17571.0,118671.0,8420.0
39,0.6587775384145169,80489.0,16072.0,106292.0,2487.0
40,0.6525115188900364,81053.0,16375.0,114615.0,6072.0
41,0.6559818773892114,82209.0,16107.0,113574.0,10855.0
42,0.6870403936366867,97045.0,13873.0,111419.0,3658.0
43,0.6758133028939268,89248.0,14085.0,110425.0,8455.0
44,0.6841881763737611,98911.0,14765.0,114748.0,3624.0
45,0.6627883586981053,81465.0,15104.0,107257.0,2462.0
46,0.6776682350807548,83559.0,13024.0,101919.0,4891.0
47,0.707113405320941,104587.0,12866.0,103974.0,9653.0
